Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,TotalPop18plus,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation
2023,MO,Missouri,Ray,BRFSS,Health Status,Frequent physical distress among adults,%,Crude prevalence,15.9,,,13.9,18.2,"23,182","17,877",29177,HLTHSTAT,PHLTH,CrdPrv,Frequent Physical Distress,POINT (-93.9899558528202 39.352257627708)
2023,UT,Utah,Tooele,BRFSS,Health Status,Frequent mental distress among adults,%,Crude prevalence,17.3,,,15.2,19.5,"82,051","56,930",49045,HLTHSTAT,MHLTH,CrdPrv,Frequent Mental Distress,POINT (-113.131050910003 40.4486328626382)
2023,GA,Georgia,Mitchell,BRFSS,Health Status,Frequent mental distress among adults,%,Crude prevalence,19.3,,,17.1,21.6,"21,114","16,263",13205,HLTHSTAT,MHLTH,CrdPrv,Frequent Mental Distress,POINT (-84.1949969554577 31.2247787477769)
2023,AL,Alabama,Bullock,BRFSS,Health Status,Frequent mental distress among adults,%,Age-adjusted prevalence,21.3,,,18.8,23.8,"9,897","7,878",1011,HLTHSTAT,MHLTH,AgeAdjPrv,Frequent Mental Distress,POINT (-85.7157596722874 32.1005731304216)
2023,ND,North Dakota,Steele,BRFSS,Health Outcomes,Cancer (non-skin) or melanoma among adults,%,Crude prevalence,11.1,,,9.9,12.4,"1,782","1,384",38091,HLTHOUT,CANCER,CrdPrv,Cancer (non-skin) or Melanoma,POINT (-97.7246625634281 47.4561586889749)
2023,MO,Missouri,McDonald,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,23.3,,,19.7,27.2,"23,903","17,900",29119,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,POINT (-94.3482788212234 36.6287006346982)
2022,GA,Georgia,Lumpkin,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Age-adjusted prevalence,70.8,,,62.2,78.6,"35,258","29,477",13187,PREVENT,MAMMOUSE,AgeAdjPrv,Mammography,POINT (-84.0028613994945 34.5724830927062)
2023,IN,Indiana,Ohio,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults,%,Age-adjusted prevalence,7.3,,,6.2,8.6,"6,004","4,809",18115,HLTHOUT,COPD,AgeAdjPrv,COPD,POINT (-84.9654176397488 38.9500282087554)
2023,MO,Missouri,Nodaway,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,77.4,,,73.9,81.0,"20,695","17,134",29147,PREVENT,CHECKUP,CrdPrv,Annual Checkup,POINT (-94.8832342053008 40.3608749796884)
2023,AL,Alabama,Tuscaloosa,BRFSS,Health-Related Social Needs,Lack of reliable transportation in the past 12 months among adults,%,Age-adjusted prevalence,10.2,,,8.6,11.8,"237,373","189,087",1125,SOCLNEED,LACKTRPT,AgeAdjPrv,Transportation Barriers,POINT (-87.5254019048087 33.2894088277374)
2023,OK,Oklahoma,Lincoln,BRFSS,Health-Related Social Needs,Food insecurity in the past 12 months among adults,%,Crude prevalence,18.2,,,15.0,21.4,"34,562","26,523",40081,SOCLNEED,FOODINSECU,CrdPrv,Food Insecurity,POINT (-96.8809102714908 35.7030440513978)
2023,IA,Iowa,Washington,BRFSS,Health-Related Social Needs,Received food stamps in the past 12 months among adults,%,Age-adjusted prevalence,10.4,,,7.9,13.0,"22,560","16,984",19183,SOCLNEED,FOODSTAMP,AgeAdjPrv,Food Stamps,POINT (-91.7173635643124 41.3355141430586)
2023,GA,Georgia,Thomas,BRFSS,Disability,Hearing disability among adults,%,Age-adjusted prevalence,6.2,,,5.5,7.0,"45,649","34,945",13275,DISABLT,HEARING,AgeAdjPrv,Hearing Disability,POINT (-83.9190539663463 30.8636976274318)
2023,VA,Virginia,Roanoke,BRFSS,Disability,Self-care disability among adults,%,Crude prevalence,4.8,,,4.2,5.6,"97,171","75,344",51770,DISABLT,SELFCARE,CrdPrv,Self-care Disability,POINT (-79.9590934003992 37.2785531189904)
2023,TX,Texas,Cass,BRFSS,Prevention,Taking medicine to control high blood pressure among adults with high blood pressure,%,Age-adjusted prevalence,59.3,,,54.9,63.7,"28,659","22,102",48067,PREVENT,BPMED,AgeAdjPrv,High Blood Pressure Medication,POINT (-94.3432364556616 33.0778942664555)
2023,AR,Arkansas,Chicot,BRFSS,Disability,Vision disability among adults,%,Crude prevalence,9.9,,,8.8,11.3,"9,538","7,511",5017,DISABLT,VISION,CrdPrv,Vision Disability,POINT (-91.2933505574654 33.2667470395332)
2023,RI,Rhode Island,Kent,BRFSS,Health Outcomes,Cancer (non-skin) or melanoma among adults,%,Age-adjusted prevalence,7.4,,,6.6,8.1,"171,278","140,721",44003,HLTHOUT,CANCER,AgeAdjPrv,Cancer (non-skin) or Melanoma,POINT (-71.5930762695537 41.6719596394176)
2023,MI,Michigan,Branch,BRFSS,Health Outcomes,High cholesterol among adults who have ever been screened,%,Crude prevalence,36.9,,,32.8,41.5,"45,215","34,668",26023,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol,POINT (-85.0591029060109 41.916103026926)
2023,VA,Virginia,Charlottesville,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,11.1,,,8.7,13.8,"44,983","37,336",51540,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,POINT (-78.4851956784908 38.0379849799995)
2023,MT,Montana,Ravalli,BRFSS,Health-Related Social Needs,Lack of social and emotional support among adults,%,Crude prevalence,20.6,,,17.2,24.1,"47,738","38,925",30081,SOCLNEED,EMOTIONSPT,CrdPrv,Lack of Social/Emotional Support,POINT (-114.120708621033 46.0815641954315)
2023,VA,Virginia,Alleghany,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,28.4,,,23.4,33.6,"14,595","12,022",51005,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-80.0064556036248 37.7878977742435)
2023,FL,Florida,Levy,BRFSS,Prevention,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude prevalence,79.7,,,77.2,82.0,"46,545","37,523",12075,PREVENT,BPMED,CrdPrv,High Blood Pressure Medication,POINT (-82.7424033737084 29.3191355718998)
2023,MD,Maryland,St. Mary's,BRFSS,Disability,Vision disability among adults,%,Age-adjusted prevalence,3.8,,,3.2,4.3,"115,281","87,752",24037,DISABLT,VISION,AgeAdjPrv,Vision Disability,POINT (-76.605795271699 38.3013809700825)
2023,MS,Mississippi,Bolivar,BRFSS,Health Status,Fair or poor self-rated health status among adults,%,Age-adjusted prevalence,30.9,,,26.9,35.6,"28,968","21,837",28011,HLTHSTAT,GHLTH,AgeAdjPrv,General Health,POINT (-90.8805163159369 33.7970211269525)
2023,TX,Texas,Reeves,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,40.7,,,31.8,49.7,"11,770","8,503",48389,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-103.693263385087 31.3228970146081)
